1,100000,90000
2,100000,70000
3,100000,85000
4,100000,100000
5,100000,65000
6,100000,80000
7,100000,60000
8,100000,95000
9,100000,72000
10,100000,100000
11,100000,76000
12,100000,82000
13,100000,73000
14,100000,65000
15,100000,88000
16,100000,70000
17,100000,100000
18,100000,90000
19,100000,68000
20,100000,95000
21,100000,73000
22,100000,84000
23,100000,86000
24,100000,78000
25,100000,70000
26,100000,69000
27,100000,100000
28,100000,88000
29,100000,65000
30,100000,82000
31,100000,77000
32,100000,92000
33,100000,71000
34,100000,69000
35,100000,100000
36,100000,65000
37,100000,60000
38,100000,83000
39,100000,90000
40,100000,75000
41,100000,82000
42,100000,88000
43,100000,76000
44,100000,67000
45,100000,83000
46,100000,70000
47,100000,100000
48,100000,91000
49,100000,78000
50,100000,95000
