1,78,82,75,80,84
2,69,71,74,68,70
3,72,75,70,76,73
4,85,88,90,87,86
5,66,70,68,72,69
6,74,78,80,76,77
7,62,65,60,68,64
8,82,84,79,86,83
9,68,71,67,72,69
10,90,92,88,94,91
11,73,75,70,78,76
12,76,78,74,80,77
13,70,73,69,75,72
14,60,62,58,64,61
15,79,81,77,83,80
16,65,68,64,70,67
17,91,93,89,95,94
18,84,86,82,88,85
19,61,64,60,66,63
20,88,90,85,89,87
21,67,71,68,73,70
22,75,78,74,79,77
23,78,80,76,82,79
24,72,74,70,76,73
25,69,71,67,72,70
26,66,69,65,70,68
27,89,91,87,93,90
28,80,83,78,85,82
29,63,65,61,67,64
30,74,77,72,78,76
31,71,74,70,75,73
32,82,84,80,86,83
33,68,71,67,72,69
34,66,69,64,70,67
35,90,92,88,94,91
36,62,64,60,66,63
37,58,61,56,63,60
38,75,78,73,79,76
39,84,86,82,88,85
40,70,73,68,75,72
41,76,78,74,80,77
42,81,83,79,85,82
43,72,74,71,76,73
44,65,68,63,70,67
45,77,80,75,81,78
46,69,71,67,72,70
47,92,94,90,96,93
48,83,85,80,87,84
49,74,77,72,79,76
50,88,90,86,91,89
